	sex	diet	generation	group	name	batch
K04_(Drosophila_2).CEL	Female	CD	F1	case	treat_cd_f1_female_K04	c
F01_(Drosophila_2).CEL	Male	HSD	F1	control	cntrl_hsd_f1_male_f01	e
F02_(Drosophila_2).CEL	Male	HSD	F1	control	cntrl_hsd_f1_male_f02	e
F03_(Drosophila_2).CEL	Male	HSD	F1	control	cntrl_hsd_f1_male_f03	e
F04_(Drosophila_2).CEL	Male	HSD	F1	control	cntrl_hsd_f1_male_f04	e
H01_(Drosophila_2).CEL	Female	HSD	F1	control	cntrl_hsd_f1_female_H01	e
H02_(Drosophila_2).CEL	Female	HSD	F1	control	cntrl_hsd_f1_female_H02	e
H03_(Drosophila_2).CEL	Female	HSD	F1	control	cntrl_hsd_f1_female_H03	e
H04_(Drosophila_2).CEL	Female	HSD	F1	control	cntrl_hsd_f1_female_H04	e
J01_(Drosophila_2).CEL	Male	HSD	F1	case	treat_hsd_f1_male_J01	e
J02_(Drosophila_2).CEL	Male	HSD	F1	case	treat_hsd_f1_male_J02	e
J03_(Drosophila_2).CEL	Male	HSD	F1	case	treat_hsd_f1_male_J03	e
J04_(Drosophila_2).CEL	Male	HSD	F1	case	treat_hsd_f1_male_J04	e
L01_(Drosophila_2).CEL	Female	HSD	F1	case	treat_hsd_f1_female_L01	e
L02_(Drosophila_2).CEL	Female	HSD	F1	case	treat_hsd_f1_female_L02	e
L03_(Drosophila_2).CEL	Female	HSD	F1	case	treat_hsd_f1_female_L03	e
L04_(Drosophila_2).CEL	Female	HSD	F1	case	treat_hsd_f1_female_L04	e
M01_(Drosophila_2).CEL	Male	CD	F2	control	cntrl_cd_f2_male_M01	d
M02_(Drosophila_2).CEL	Male	CD	F2	control	cntrl_cd_f2_male_M02	d
M03_(Drosophila_2).CEL	Male	CD	F2	control	cntrl_cd_f2_male_M03	d
M04_(Drosophila_2).CEL	Male	CD	F2	control	cntrl_cd_f2_male_M04	d
O01_(Drosophila_2).CEL	Female	CD	F2	control	cntrl_cd_f2_female_O01	d
O02_(Drosophila_2).CEL	Female	CD	F2	control	cntrl_cd_f2_female_O02	d
O03_(Drosophila_2).CEL	Female	CD	F2	control	cntrl_cd_f2_female_O03	d
O04_(Drosophila_2).CEL	Female	CD	F2	control	cntrl_cd_f2_female_O04	d
Q01_(Drosophila_2).CEL	Male	CD	F2	case	treat_cd_f2_male_Q01	d
Q02_(Drosophila_2).CEL	Male	CD	F2	case	treat_cd_f2_male_Q02	d
Q03_(Drosophila_2).CEL	Male	CD	F2	case	treat_cd_f2_male_Q03	d
Q04_(Drosophila_2).CEL	Male	CD	F2	case	treat_cd_f2_male_Q04	d
S01_(Drosophila_2).CEL	Female	CD	F2	case	treat_cd_f2_female_S01	d
S02_(Drosophila_2).CEL	Female	CD	F2	case	treat_cd_f2_female_S02	d
S03_(Drosophila_2).CEL	Female	CD	F2	case	treat_cd_f2_female_S03	d
S04_(Drosophila_2).CEL	Female	CD	F2	case	treat_cd_f2_female_S04	d
N01_(Drosophila_2).CEL	Male	HSD	F2	control	cntrl_hsd_f2_male_N01	f
N02_(Drosophila_2).CEL	Male	HSD	F2	control	cntrl_hsd_f2_male_N02	f
N03_(Drosophila_2).CEL	Male	HSD	F2	control	cntrl_hsd_f2_male_N03	f
N04_(Drosophila_2).CEL	Male	HSD	F2	control	cntrl_hsd_f2_male_N04	f
P01_(Drosophila_2).CEL	Female	HSD	F2	control	cntrl_hsd_f2_female_P01	f
P02_(Drosophila_2).CEL	Female	HSD	F2	control	cntrl_hsd_f2_female_P02	f
P03_(Drosophila_2).CEL	Female	HSD	F2	control	cntrl_hsd_f2_female_P03	f
P04_(Drosophila_2).CEL	Female	HSD	F2	control	cntrl_hsd_f2_female_P04	f
R01_(Drosophila_2).CEL	Male	HSD	F2	case	treat_hsd_f2_male_R01	f
R02_(Drosophila_2).CEL	Male	HSD	F2	case	treat_hsd_f2_male_R02	f
R03_(Drosophila_2).CEL	Male	HSD	F2	case	treat_hsd_f2_male_R03	f
R04_(Drosophila_2).CEL	Male	HSD	F2	case	treat_hsd_f2_male_R04	f
T01_(Drosophila_2).CEL	Female	HSD	F2	case	treat_hsd_f2_female_T01	f
T02_(Drosophila_2).CEL	Female	HSD	F2	case	treat_hsd_f2_female_T02	f
T03_(Drosophila_2).CEL	Female	HSD	F2	case	treat_hsd_f2_female_T03	f
T04_(Drosophila_2).CEL	Female	HSD	F2	case	treat_hsd_f2_female_T04	f
